slap_url,long_url
http://slap.red/100payau,https://100payau.com/RF29661A3A5
http://slap.red/100pokies,https://100pokies.com/RF29AAA3291
http://slap.red/11win,https://11win.com/RF2963506A7
http://slap.red/126spin,https://126spin.com/RF275708925
http://slap.red/12playau,https://12playau.com/RF6151170
http://slap.red/19rich,https://19rich.com/REF213A33A6A
http://slap.red/1bigwin,https://1bigwin.com/RF2528102A1
http://slap.red/1pokies,https://1pokies.com/RF190980933
http://slap.red/1spinnwin,https://1spinnwin.com
http://slap.red/1winbet369,https://1winbet369.com/RF239126025
http://slap.red/22aud,https://22aud.com
http://slap.red/22aus,NO_MATCH_FOUND
http://slap.red/22bitau,https://22bitau.com
http://slap.red/22luckyspin,https://22luckyspin.com/RF8050735
http://slap.red/22pokies,https://22pokies.com/RF188730018
http://slap.red/22rickycasino,NO_MATCH_FOUND
http://slap.red/33spins,https://33spins.com/RF226359271
http://slap.red/44spin,https://44spin.com
http://slap.red/5starclub,https://5starclub.vip
http://slap.red/5winaus,NO_MATCH_FOUND
http://slap.red/66spin,https://66spin.com
http://slap.red/77au,https://77au.net
http://slap.red/77magic,https://77magic.net
http://slap.red/77pokies,https://77pokies.com
http://slap.red/7pokies,https://7pokies.com/RF2A395599A
http://slap.red/7vip7,https://7vip7.com
http://slap.red/88au,https://glorybet88au.com/RF292582108
http://slap.red/88aus,https://88aus.live
http://slap.red/88pokies,https://88pokies.com/RF838A005
http://slap.red/96spinau,NO_MATCH_FOUND
http://slap.red/99flashwin,https://99flashwin.com/RF29662028A
http://slap.red/9au,https://9au.com/RF239355529
http://slap.red/9aus,https://9aus.com/RF283055172
http://slap.red/9pokies,https://9pokies.com
http://slap.red/9xbetau,https://9xbetau.com/RF7A59A67
http://slap.red/Imctslot,NO_MATCH_FOUND
http://slap.red/a1club88,https://a1club88.com
http://slap.red/a99au,https://a99au.com/RF2191A6181
http://slap.red/a9aud,https://a9aud.com/A9108A8521
http://slap.red/aaspin77,https://aaspin77.com
http://slap.red/aawin68,https://aawin68.com
http://slap.red/aba33aus,https://aba33aus.com
http://slap.red/ac8bet,NO_MATCH_FOUND
http://slap.red/acehighwin,https://acehighwin.com
http://slap.red/acwin77,https://acwin77.com/acwin77RF188395197
http://slap.red/af7aus,NO_MATCH_FOUND
http://slap.red/afl88,https://afl88.com/RF12585753
http://slap.red/ak8aud,NO_MATCH_FOUND
http://slap.red/albanesewin,https://albanesewin.com/RF2A7A6A33A
http://slap.red/all117,https://all117.com/RF2A7315A55
http://slap.red/am88aus,NO_MATCH_FOUND
http://slap.red/amb88,https://amb88.cc/RF39396A2
http://slap.red/anz188,https://anz188.co
http://slap.red/anzspin,https://anzspin.com/RF2261A9AAA
http://slap.red/aristocratau,https://aristocratau.com
http://slap.red/ariswin,https://ariswin.com/RF22A1A5027
http://slap.red/arkspin,https://arkspin.com/RF226363398
http://slap.red/arvo96,https://arvo96.com/RF232097A12
http://slap.red/astar77au,https://astar77au.com
http://slap.red/astar7au,NO_MATCH_FOUND
http://slap.red/au,https://au.eg9.bet
http://slap.red/au21,https://au21.net/AU21213A97556
http://slap.red/au55,https://au55.co
http://slap.red/au68,https://au68.net/RF233A73875
http://slap.red/au99,https://au99.co/RF200322536
http://slap.red/aucloud9,https://aucloud9.com
http://slap.red/aud2u,https://aud2u.com/TW217070861
http://slap.red/aud33,https://aud33.com
http://slap.red/aud365,https://aud365.co/RF181853703
http://slap.red/aud44,https://aud44.com
http://slap.red/aud77,https://aud77.net/RF191665528
http://slap.red/aud96,https://aud96.com/RF2A7395139
http://slap.red/aud99,https://aud99.live
http://slap.red/audgaming8,https://audgaming8.com
http://slap.red/audgo,https://audgo.net/RF22101A151
http://slap.red/audmachine,https://audmachine.com/RF230710708
http://slap.red/audwin,https://audwin9.com/RF22232700A
http://slap.red/aumania,https://aumania.co
http://slap.red/aupay99,https://aupay99.com
http://slap.red/auplay,https://auplay.club
http://slap.red/auraaud,https://auraaud.com
http://slap.red/aurapokies,https://aurapokies.com/RF9798818
http://slap.red/aus2u,https://aus2u.com/RF23656AA52
